ID,Original Hook,Original Tone,Tone v2,Fit for Chị Hiền,Stage,Calendar Stage Match,Best Format,Hook Type,Risk,Adapt Direction,Chị Hiền Hook,Use Case,Note
H127,Bạn đang dùng 'em chưa sẵn sàng' để bảo vệ cái gì?,Reflective,Reflective,PASS,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn đang dùng 'em chưa sẵn sàng' để bảo vệ cái gì?,"Bình yên, kiệt sức, ranh giới cảm xúc","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H128,Bạn có đang trốn trong vùng 'nghiên cứu thêm' vô thời hạn?,Confrontational,Confrontational,ADAPT,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn có đang trốn trong vùng 'nghiên cứu thêm' vô thời hạn?,"Bình yên, kiệt sức, ranh giới cảm xúc",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H129,Bạn học để chứng minh mình thông minh hay để nhẹ lòng?,Gentle,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn học để chứng minh mình thông minh hay để nhẹ lòng?,"Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H130,"Sức mạnh thật không nằm ở điều bạn biết, mà ở điều bạn dám làm.",Inspirational,Inspirational,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Sức mạnh thật không nằm ở điều bạn biết, mà ở điều bạn dám làm.","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H131,"Bạn đang bán [sản phẩm], hay đang bán sự chuyển hóa bên trong?",Insightful,Insightful,HOLD,Sau 30 bài / Sales phase,Sau 30 bài,Educational / Sau 30 bài,Sales / Offer hook,Quá marketing/sales sớm,Giữ lại dùng sau; bỏ yếu tố bán hàng + placeholder khi cần,Dùng sau 30 bài: cần adapt theo offer thật và voice chị Hiền.,Giai đoạn business/content/sales sau 30 bài,Chưa dùng trong 30 bài đầu. Sales hook hoặc placeholder offer.
H132,"Bạn có đang nói về tính năng, trong khi khách cần phiên bản mới của họ?",Reflective,Reflective,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn có đang nói về tính năng, trong khi khách cần phiên bản mới của họ?","Giá trị bản thân, bản sắc, thay đổi","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H133,"Nội dung của bạn hứa điều gì với cuộc đời khách, ngoài kết quả bề mặt?",Confrontational,Confrontational,HOLD,Sau 30 bài / Sales phase,Sau 30 bài,Educational / Sau 30 bài,Sales / Offer hook,Quá marketing/sales sớm,Giữ lại dùng sau; bỏ yếu tố bán hàng + placeholder khi cần,Dùng sau 30 bài: cần adapt theo offer thật và voice chị Hiền.,Giai đoạn business/content/sales sau 30 bài,Chưa dùng trong 30 bài đầu. Sales hook hoặc placeholder offer.
H134,"Bạn có đang bán giải pháp, hay bán phép màu không cần nỗ lực?",Gentle,Gentle,HOLD,Sau 30 bài / Sales phase,Sau 30 bài,Educational / Sau 30 bài,Sales / Offer hook,Quá marketing/sales sớm,Giữ lại dùng sau; bỏ yếu tố bán hàng + placeholder khi cần,Dùng sau 30 bài: cần adapt theo offer thật và voice chị Hiền.,Giai đoạn business/content/sales sau 30 bài,Chưa dùng trong 30 bài đầu. Sales hook hoặc placeholder offer.
H135,"Nếu khách không còn cần bạn nữa sau khi làm xong, bạn có dám nhận?",Inspirational,Inspirational,HOLD,Sau 30 bài / Sales phase,Sau 30 bài,Educational / Sau 30 bài,Sales / Offer hook,Quá marketing/sales sớm,Giữ lại dùng sau; bỏ yếu tố bán hàng + placeholder khi cần,Dùng sau 30 bài: cần adapt theo offer thật và voice chị Hiền.,Giai đoạn business/content/sales sau 30 bài,Chưa dùng trong 30 bài đầu. Sales hook hoặc placeholder offer.
H136,"Bạn muốn khách lệ thuộc, hay muốn họ đủ mạnh để không cần bạn?",Insightful,Insightful,HOLD,Sau 30 bài / Sales phase,Sau 30 bài,Educational / Sau 30 bài,Sales / Offer hook,Quá marketing/sales sớm,Giữ lại dùng sau; bỏ yếu tố bán hàng + placeholder khi cần,Dùng sau 30 bài: cần adapt theo offer thật và voice chị Hiền.,Giai đoạn business/content/sales sau 30 bài,Chưa dùng trong 30 bài đầu. Sales hook hoặc placeholder offer.
H137,"Bạn có dám nói sự thật, ngay cả khi nó bán chậm hơn?",Reflective,Reflective,HOLD,Sau 30 bài / Sales phase,Sau 30 bài,Educational / Sau 30 bài,Sales / Offer hook,Quá marketing/sales sớm,Giữ lại dùng sau; bỏ yếu tố bán hàng + placeholder khi cần,Dùng sau 30 bài: cần adapt theo offer thật và voice chị Hiền.,Giai đoạn business/content/sales sau 30 bài,Chưa dùng trong 30 bài đầu. Sales hook hoặc placeholder offer.
H138,Bạn đang marketing cho cái 'tôi' hay cho giá trị thật sự?,Confrontational,Confrontational,HOLD,Sau 30 bài / Sales phase,Sau 30 bài,Educational / Sau 30 bài,Sales / Offer hook,Quá marketing/sales sớm,Giữ lại dùng sau; bỏ yếu tố bán hàng + placeholder khi cần,Dùng sau 30 bài: cần adapt theo offer thật và voice chị Hiền.,Giai đoạn business/content/sales sau 30 bài,Chưa dùng trong 30 bài đầu. Sales hook hoặc placeholder offer.
H139,"Bạn có đang dạy khách tin vào bạn, thay vì tin vào chính mình?",Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn có đang dạy khách tin vào bạn, thay vì tin vào chính mình?","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H140,Mỗi sản phẩm bạn bán đang kéo khách lại gần hay xa chính họ?,Inspirational,Inspirational,HOLD,Sau 30 bài / Sales phase,Sau 30 bài,Educational / Sau 30 bài,Sales / Offer hook,Quá marketing/sales sớm,Giữ lại dùng sau; bỏ yếu tố bán hàng + placeholder khi cần,Dùng sau 30 bài: cần adapt theo offer thật và voice chị Hiền.,Giai đoạn business/content/sales sau 30 bài,Chưa dùng trong 30 bài đầu. Sales hook hoặc placeholder offer.
H141,"Bạn không phải làm 'nhiều content', bạn cần content đúng.",Insightful,Insightful,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn không phải làm 'nhiều content', bạn cần content đúng.","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H142,Bài viết của bạn đang bán giờ của mình hay bán tương lai của khách?,Reflective,Reflective,HOLD,Sau 30 bài / Sales phase,Sau 30 bài,Educational / Sau 30 bài,Sales / Offer hook,Quá marketing/sales sớm,Giữ lại dùng sau; bỏ yếu tố bán hàng + placeholder khi cần,Dùng sau 30 bài: cần adapt theo offer thật và voice chị Hiền.,Giai đoạn business/content/sales sau 30 bài,Chưa dùng trong 30 bài đầu. Sales hook hoặc placeholder offer.
H143,"Bạn có đang viết để được like, hay để ai đó dám thay đổi?",Confrontational,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,"Có khi bạn có đang viết để được like, hay để ai đó dám thay đổi?","Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H144,"Nếu bài viết của bạn không khiến ai dừng lại 5 giây, nó bán được gì?",Gentle,Gentle,HOLD,Sau 30 bài / Sales phase,Sau 30 bài,Educational / Sau 30 bài,Sales / Offer hook,Quá marketing/sales sớm,Giữ lại dùng sau; bỏ yếu tố bán hàng + placeholder khi cần,Dùng sau 30 bài: cần adapt theo offer thật và voice chị Hiền.,Giai đoạn business/content/sales sau 30 bài,Chưa dùng trong 30 bài đầu. Sales hook hoặc placeholder offer.
H145,"Bạn đang kể câu chuyện cho ego, hay câu chuyện cho linh hồn?",Inspirational,Inspirational,REJECT,Không dùng,Không dùng,—,Spiritual,Quá spiritual / Lệch voice chị Hiền,Không dùng,Không dùng cho chị Hiền.,—,Voice chị Hiền không dùng spiritual / linh hồn / vũ trụ. REJECT.
H146,"Bạn có dám kể góc tối của mình, thay vì chỉ khoảnh khắc lung linh?",Insightful,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,"Có khi bạn có dám kể góc tối của mình, thay vì chỉ khoảnh khắc lung linh?","Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H147,"Story của bạn có cho khách thấy họ trong đó không, hay chỉ thấy bạn?",Reflective,Reflective,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Story của bạn có cho khách thấy họ trong đó không, hay chỉ thấy bạn?","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H148,"Bạn đang viết để gây ấn tượng, hay để tạo biến chuyển thật sự?",Confrontational,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,"Có khi bạn đang viết để gây ấn tượng, hay để tạo biến chuyển thật sự?","Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H149,Nội dung của bạn có bán được một quyết định dũng cảm không?,Gentle,Gentle,HOLD,Sau 30 bài / Sales phase,Sau 30 bài,Educational / Sau 30 bài,Sales / Offer hook,Quá marketing/sales sớm,Giữ lại dùng sau; bỏ yếu tố bán hàng + placeholder khi cần,Dùng sau 30 bài: cần adapt theo offer thật và voice chị Hiền.,Giai đoạn business/content/sales sau 30 bài,Chưa dùng trong 30 bài đầu. Sales hook hoặc placeholder offer.
H150,Bạn có dám viết như nói chuyện với một người bạn thân đang đau?,Inspirational,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn có dám viết như nói chuyện với một người bạn thân đang đau?,"Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H151,"Bạn không cần nói chuyện với cả thế giới, chỉ cần nói đúng người.",Insightful,Insightful,PASS,30 bài đầu,D8-D14,Long FB / Reel 90-120s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn không cần nói chuyện với cả thế giới, chỉ cần nói đúng người.","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H152,"Bạn có biết mình đang viết cho ai, ngoài 'tập khách hàng mục tiêu'?",Reflective,Reflective,HOLD,Sau 30 bài / Sales phase,Sau 30 bài,Educational / Sau 30 bài,Content / Business hook,Quá marketing/sales sớm cho 30 bài đầu,Giữ lại dùng sau khi đã warm audience,Dùng sau 30 bài. Adapt theo voice chị Hiền + insight thật.,Giai đoạn business/content/sales sau 30 bài,Chưa dùng trong 30 bài đầu.
H153,"Nếu chỉ chọn giúp một kiểu người, bạn chọn ai?",Confrontational,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Nếu chỉ chọn giúp một kiểu người, bạn chọn ai?","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H154,Bạn có đang dùng từ ngữ mà phiên bản cũ của bạn từng cần nghe không?,Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có đang dùng từ ngữ mà phiên bản cũ của bạn từng cần nghe không?,"Giá trị bản thân, bản sắc, thay đổi","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H155,Bài viết của bạn có chạm được người đang thức khuya vì lo lắng không?,Inspirational,Inspirational,HOLD,Sau 30 bài / Sales phase,Sau 30 bài,Educational / Sau 30 bài,Sales / Offer hook,Quá marketing/sales sớm,Giữ lại dùng sau; bỏ yếu tố bán hàng + placeholder khi cần,Dùng sau 30 bài: cần adapt theo offer thật và voice chị Hiền.,Giai đoạn business/content/sales sau 30 bài,Chưa dùng trong 30 bài đầu. Sales hook hoặc placeholder offer.
H156,Bạn nói chuyện với người mạnh mẽ hay với người đang sắp bỏ cuộc?,Insightful,Insightful,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn nói chuyện với người mạnh mẽ hay với người đang sắp bỏ cuộc?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H157,"Bạn có đang sử dụng nỗi đau của khách, hay đang nâng niu nó?",Reflective,Reflective,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn có đang sử dụng nỗi đau của khách, hay đang nâng niu nó?","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H158,"Bạn có dám chỉ cho khách phần họ cần đối diện, không phải phần họ muốn nghe?",Confrontational,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,"Có khi bạn có dám chỉ cho khách phần họ cần đối diện, không phải phần họ muốn nghe?","Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H159,"Bạn đang mời họ thay đổi, hay mời họ nghiện cảm hứng?",Gentle,Gentle,PASS,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn đang mời họ thay đổi, hay mời họ nghiện cảm hứng?","Bình yên, kiệt sức, ranh giới cảm xúc","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H160,Nội dung của bạn có để lại câu hỏi nào ám ảnh họ không?,Inspirational,Inspirational,HOLD,Sau 30 bài / Sales phase,Sau 30 bài,Educational / Sau 30 bài,Sales / Offer hook,Quá marketing/sales sớm,Giữ lại dùng sau; bỏ yếu tố bán hàng + placeholder khi cần,Dùng sau 30 bài: cần adapt theo offer thật và voice chị Hiền.,Giai đoạn business/content/sales sau 30 bài,Chưa dùng trong 30 bài đầu. Sales hook hoặc placeholder offer.
H161,"Bạn không cần thêm may mắn, bạn cần thêm trách nhiệm với lựa chọn.",Insightful,Insightful,PASS,30 bài đầu,D8-D14,Long FB / Reel 90-120s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn không cần thêm may mắn, bạn cần thêm trách nhiệm với lựa chọn.","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H162,Bạn có đang để cho hoàn cảnh thứ đáng lẽ mình có thể thay?,Reflective,Reflective,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có đang để cho hoàn cảnh thứ đáng lẽ mình có thể thay?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H163,Bạn trách ai nhiều nhất cho cuộc đời mình hiện tại?,Confrontational,Confrontational,ADAPT,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn trách ai nhiều nhất cho cuộc đời mình hiện tại?,"Bình yên, kiệt sức, ranh giới cảm xúc",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H164,Bạn có đang chờ ai đó 'cho phép' mình sống khác đi?,Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có đang chờ ai đó 'cho phép' mình sống khác đi?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H165,"Nếu không còn ai để đổ lỗi, bạn sẽ làm gì khác?",Inspirational,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Nếu không còn ai để đổ lỗi, bạn sẽ làm gì khác?","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H166,"Bạn có bao giờ nghĩ, có thể mình cũng góp phần tạo ra điều này?",Insightful,Insightful,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn có bao giờ nghĩ, có thể mình cũng góp phần tạo ra điều này?","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H167,"Bạn đang bảo vệ cái tôi, hay bảo vệ tương lai của mình?",Reflective,Reflective,PASS,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn đang bảo vệ cái tôi, hay bảo vệ tương lai của mình?","Bình yên, kiệt sức, ranh giới cảm xúc","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H168,Bạn có dám nhận mình là người duy nhất chịu trách nhiệm không?,Confrontational,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn có dám nhận mình là người duy nhất chịu trách nhiệm không?,"Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H169,"Khi ngừng đổ lỗi, bạn sẽ nhận lại sức mạnh gì?",Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Khi ngừng đổ lỗi, bạn sẽ nhận lại sức mạnh gì?","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H170,"Bạn có đang muốn chữa lành, nhưng không muốn thay đổi gì cả?",Inspirational,Inspirational,PASS,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn có đang muốn chữa lành, nhưng không muốn thay đổi gì cả?","Chữa lành, quá khứ, tự tha thứ","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H171,"Bạn không cần tha thứ cho quá khứ, nhưng bạn cần buông nó ra.",Insightful,Insightful,PASS,30 bài đầu,D1-D7,Long FB / Reel 90-120s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn không cần tha thứ cho quá khứ, nhưng bạn cần buông nó ra.","Chữa lành, quá khứ, tự tha thứ","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H172,Bạn có đang giữ chặt nỗi đau như bằng chứng mình đáng thương?,Reflective,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn có đang giữ chặt nỗi đau như bằng chứng mình đáng thương?,"Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H173,Bạn được lợi gì khi tiếp tục ôm câu chuyện cũ?,Confrontational,Confrontational,ADAPT,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn được lợi gì khi tiếp tục ôm câu chuyện cũ?,"Chữa lành, quá khứ, tự tha thứ",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H174,"Nếu thôi kể lại chuyện xưa, bạn sẽ kể gì về tương lai?",Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Nếu thôi kể lại chuyện xưa, bạn sẽ kể gì về tương lai?","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H175,"Bạn có thực sự muốn chữa lành, hay chỉ muốn bớt cô đơn?",Inspirational,Inspirational,PASS,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn có thực sự muốn chữa lành, hay chỉ muốn bớt cô đơn?","Chữa lành, quá khứ, tự tha thứ","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H176,"Chữa lành không xoá quá khứ, nó trả lại hiện tại cho bạn.",Insightful,Insightful,PASS,30 bài đầu,D1-D7,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Chữa lành không xoá quá khứ, nó trả lại hiện tại cho bạn.","Chữa lành, quá khứ, tự tha thứ","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H177,Bạn còn cần quá khứ chứng minh điều gì cho mình nữa?,Reflective,Confrontational,ADAPT,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn còn cần quá khứ chứng minh điều gì cho mình nữa?,"Chữa lành, quá khứ, tự tha thứ",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H178,Bạn có sẵn sàng tha cho bản thân của phiên bản 'chưa biết gì' không?,Confrontational,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn có sẵn sàng tha cho bản thân của phiên bản 'chưa biết gì' không?,"Giá trị bản thân, bản sắc, thay đổi",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H179,"Nếu bạn nhìn quá khứ như một đứa trẻ, bạn sẽ dịu hơn chứ?",Gentle,Confrontational,ADAPT,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,"Nếu bạn nhìn quá khứ như một đứa trẻ, bạn sẽ dịu hơn chứ?","Chữa lành, quá khứ, tự tha thứ",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H180,"Bạn có chấp nhận rằng mình đã làm hết sức, với những gì mình biết khi đó?",Inspirational,Inspirational,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn có chấp nhận rằng mình đã làm hết sức, với những gì mình biết khi đó?","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H181,"Bạn không phải 'quá nhiều', bạn chỉ ở nhầm nơi.",Insightful,Insightful,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn không phải 'quá nhiều', bạn chỉ ở nhầm nơi.","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H182,Bạn có đang chơi nhỏ lại cho vừa với nỗi sợ của người khác?,Reflective,Reflective,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có đang chơi nhỏ lại cho vừa với nỗi sợ của người khác?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H183,"Môi trường bạn đang ở khuyến khích, hay làm tắt bạn đi?",Confrontational,Confrontational,ADAPT,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,"Môi trường bạn đang ở khuyến khích, hay làm tắt bạn đi?","Bình yên, kiệt sức, ranh giới cảm xúc",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H184,Bạn có đang xin phép được là chính mình?,Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có đang xin phép được là chính mình?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H185,"Nếu không ai chê trách, bạn sẽ sống khác đi thế nào?",Inspirational,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Nếu không ai chê trách, bạn sẽ sống khác đi thế nào?","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H186,Bạn đang đặt mình vào không gian nuôi dưỡng hay không gian rút cạn?,Insightful,Insightful,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn đang đặt mình vào không gian nuôi dưỡng hay không gian rút cạn?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H187,Ai là người bạn cần bớt nghe lời để nghe chính mình hơn?,Reflective,Reflective,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Ai là người bạn cần bớt nghe lời để nghe chính mình hơn?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
